Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,n_units_layer_3,lrate,nEpoch,dropout_prob,weight_decay,obj
236,11,1dpos,zone,onehot,NN,1,256,,,,0.005463981,500,0.261694916,0.0013499,0.521852001
237,11,1dpos,2dpos,onehot,NN,1,128,,,,0.006227801,500,0.216625933,0.000148294,0.457757956
238,11,1dpos,polar,onehot,NN,4,64,64,256,512,0.002301978,500,0.203199279,0.000133269,0.510504379
239,11,1dpos,elliptic,onehot,NN,2,128,512,,,0.019916752,500,0.286174353,0.000998507,0.504884988
240,12,raw,raw,onehot,NN,3,256,512,128,,0.004102327,500,0.388456595,0.000655414,0.625904763
241,12,raw,zone,onehot,NN,2,256,256,,,0.002068295,500,0.026242327,0.003007705,0.619313224
242,12,raw,2dpos,onehot,NN,4,256,64,256,64,0.002312283,500,0.23324688,6.54E-05,0.600479314
243,12,raw,polar,onehot,NN,4,128,64,64,512,0.007405706,300,0.062211796,0.000992554,0.621819353
244,12,raw,elliptic,onehot,NN,2,512,256,,,0.011443345,500,0.420254145,0.000272086,0.621920249
245,12,addDur,raw,onehot,NN,2,256,512,,,0.009531184,300,0.250053528,0.000627578,0.623437017
246,12,addDur,zone,onehot,NN,2,512,64,,,0.002463539,200,0.328454656,0.001018165,0.619236304
247,12,addDur,2dpos,onehot,NN,2,256,512,,,0.002135736,500,0.242285213,4.45E-05,0.600155031
248,12,addDur,polar,onehot,NN,3,256,256,256,,0.001081518,500,0.277351818,0.000608719,0.623655932
249,12,addDur,elliptic,onehot,NN,2,512,64,,,0.0139808,500,0.18833715,0.000343249,0.619967619
250,12,cyclic,raw,onehot,NN,3,512,512,64,,0.001567662,500,0.365711484,0.000720474,0.62380514
