Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
158,7,1dpos,polar,onehot,XG,11,0.033580985,266,0.640115451,0.654504471,0.572186472
159,7,1dpos,elliptic,onehot,XG,12,0.03080246,261,0.766825912,0.627789016,0.56803478
160,8,raw,raw,onehot,XG,11,0.031685151,273,0.777382962,0.842977221,0.651633743
161,8,raw,zone,onehot,XG,7,0.038798464,197,0.673414508,0.714640533,0.619609094
162,8,raw,2dpos,onehot,XG,13,0.02643481,228,0.850786583,0.632881287,0.654460596
163,8,raw,polar,onehot,XG,7,0.072937168,271,0.888024362,0.873185674,0.646337771
164,8,raw,elliptic,onehot,XG,11,0.043559687,195,0.899510654,0.75796191,0.645217281
165,8,addDur,raw,onehot,XG,9,0.035193319,267,0.841787211,0.786271041,0.65080866
166,8,addDur,zone,onehot,XG,6,0.04785689,190,0.857714966,0.87659127,0.618611623
167,8,addDur,2dpos,onehot,XG,11,0.028709502,262,0.802107755,0.695988335,0.65289182
168,8,addDur,polar,onehot,XG,8,0.039446095,269,0.816488882,0.778641808,0.646100349
169,8,addDur,elliptic,onehot,XG,12,0.029656568,180,0.992711328,0.639956526,0.643770638
170,8,cyclic,raw,onehot,XG,9,0.083130655,177,0.734987923,0.769551908,0.649562156
171,8,cyclic,zone,onehot,XG,6,0.037783495,248,0.88693176,0.653165883,0.617955847
172,8,cyclic,2dpos,onehot,XG,9,0.045060537,256,0.832928398,0.839943414,0.649864706
173,8,cyclic,polar,onehot,XG,9,0.057139438,143,0.899107744,0.719073799,0.642729971
174,8,cyclic,elliptic,onehot,XG,12,0.027884001,221,0.925490081,0.676364617,0.643068317
175,8,1dpos,raw,onehot,XG,10,0.078271972,260,0.983284722,0.6128099,0.56762098
176,8,1dpos,zone,onehot,XG,15,0.035303945,170,0.602354258,0.607811911,0.540429877
177,8,1dpos,2dpos,onehot,XG,9,0.065586422,259,0.86279753,0.606503759,0.570486543
178,8,1dpos,polar,onehot,XG,9,0.080723014,257,0.964829734,0.673394604,0.56902348
179,8,1dpos,elliptic,onehot,XG,11,0.073361193,206,0.935921726,0.646869287,0.568822245
180,9,raw,raw,onehot,XG,11,0.054703426,202,0.743194036,0.763006249,0.650551714
181,9,raw,zone,onehot,XG,5,0.101931457,69,0.770511486,0.793311072,0.619710678
182,9,raw,2dpos,onehot,XG,11,0.023707857,279,0.866084353,0.603471083,0.653128028
183,9,raw,polar,onehot,XG,11,0.031802841,232,0.867751271,0.604027095,0.647414533
184,9,raw,elliptic,onehot,XG,10,0.055432894,239,0.945950114,0.832595982,0.645834119
185,9,addDur,raw,onehot,XG,9,0.039640364,284,0.799488502,0.944827247,0.650532035
186,9,addDur,zone,onehot,XG,6,0.026238128,217,0.756006553,0.756620034,0.616404247
187,9,addDur,2dpos,onehot,XG,9,0.062198874,219,0.790726241,0.687941639,0.652048047
188,9,addDur,polar,onehot,XG,10,0.043745685,218,0.665075381,0.693325472,0.646182873
189,9,addDur,elliptic,onehot,XG,15,0.025617803,148,0.706657745,0.74884748,0.642903634
190,9,cyclic,raw,onehot,XG,8,0.047391794,252,0.710430482,0.86141998,0.647426271
191,9,cyclic,zone,onehot,XG,6,0.033156643,256,0.700603849,0.81758378,0.617667172
192,9,cyclic,2dpos,onehot,XG,12,0.02761282,183,0.616623961,0.652008467,0.650687787
193,9,cyclic,polar,onehot,XG,8,0.071476053,143,0.85598983,0.875278153,0.643989525
194,9,cyclic,elliptic,onehot,XG,10,0.030014616,258,0.799700742,0.695249537,0.643088299
195,9,1dpos,raw,onehot,XG,11,0.051657773,220,0.84066897,0.696778288,0.570947373
196,9,1dpos,zone,onehot,XG,11,0.052107295,278,0.622578634,0.600160155,0.542153848
197,9,1dpos,2dpos,onehot,XG,9,0.055319686,292,0.86280883,0.799708779,0.57565947
198,9,1dpos,polar,onehot,XG,9,0.070510901,280,0.949761173,0.757756506,0.566546809
199,9,1dpos,elliptic,onehot,XG,10,0.053413531,280,0.744395176,0.658043647,0.565987044
200,10,raw,raw,onehot,XG,14,0.018772913,263,0.830105637,0.621585617,0.652349514
201,10,raw,zone,onehot,XG,6,0.041346181,272,0.839810882,0.780344152,0.619352215
202,10,raw,2dpos,onehot,XG,13,0.072779144,152,0.880393436,0.648192434,0.653287212
