Index,opt,timeOpt,locOpt,catOpt,modelOpt,iterations,learning_rate,depth,l2_leaf_reg,border_count,auto_class_weights,obj
252,12,cyclic,2dpos,catboost,CB,800,0.054987938,7,0.183617377,107,,0.640428269
253,12,cyclic,polar,catboost,CB,500,0.051802159,6,1.021335442,108,,0.633830808
254,12,cyclic,elliptic,catboost,CB,600,0.092090277,6,1.582154488,128,,0.633517902
255,12,1dpos,raw,catboost,CB,800,0.08362554,6,2.255777474,120,,0.553682653
256,12,1dpos,zone,catboost,CB,800,0.014950001,9,0.14599062,32,,0.52840362
257,12,1dpos,2dpos,catboost,CB,700,0.054898676,7,0.22989113,62,,0.55604457
258,12,1dpos,polar,catboost,CB,800,0.050516612,8,2.785657156,74,,0.542414607
259,12,1dpos,elliptic,catboost,CB,700,0.034806405,8,0.194782061,107,,0.543704399
260,13,raw,raw,catboost,CB,800,0.075228444,7,0.135401357,92,,0.644008994
261,13,raw,zone,catboost,CB,700,0.006461199,9,0.365363312,112,,0.620012314
262,13,raw,2dpos,catboost,CB,800,0.039559283,7,0.664038773,124,,0.642760501
263,13,raw,polar,catboost,CB,700,0.035310262,7,0.934282759,125,,0.638156586
264,13,raw,elliptic,catboost,CB,700,0.165509515,5,0.37879115,123,,0.633285371
265,13,addDur,raw,catboost,CB,800,0.105328885,7,0.100555646,66,,0.643897706
266,13,addDur,zone,catboost,CB,500,0.012515708,8,0.126876164,104,,0.617309521
267,13,addDur,2dpos,catboost,CB,400,0.112706814,7,0.110455988,114,,0.641841807
268,13,addDur,polar,catboost,CB,300,0.232674577,6,9.699315714,123,,0.635215698
269,13,addDur,elliptic,catboost,CB,600,0.070000724,6,0.216113038,104,,0.636317564
270,13,cyclic,raw,catboost,CB,500,0.071956379,7,0.117996864,124,,0.639440296
271,13,cyclic,zone,catboost,CB,400,0.063623072,4,0.43006848,119,,0.615182095
272,13,cyclic,2dpos,catboost,CB,800,0.140444203,6,1.498405176,90,,0.639282766
273,13,cyclic,polar,catboost,CB,800,0.02850074,8,3.774935133,110,,0.634672766
274,13,cyclic,elliptic,catboost,CB,700,0.04228604,7,0.287660791,122,,0.631656425
275,13,1dpos,raw,catboost,CB,700,0.0813525,7,0.504065255,68,,0.550615137
276,13,1dpos,zone,catboost,CB,500,0.026056424,8,1.34430591,111,,0.521274591
277,13,1dpos,2dpos,catboost,CB,800,0.077062685,5,0.361546767,94,,0.554272923
278,13,1dpos,polar,catboost,CB,700,0.063868495,6,1.9732406,112,,0.548108841
279,13,1dpos,elliptic,catboost,CB,800,0.043390323,7,1.05270653,121,,0.547144992
280,14,raw,raw,catboost,CB,600,0.066022641,7,0.100171475,96,,0.644947737
281,14,raw,zone,catboost,CB,200,0.022589789,10,0.699895475,115,,0.62302235
282,14,raw,2dpos,catboost,CB,800,0.048778005,7,0.105529659,98,,0.643274604
283,14,raw,polar,catboost,CB,500,0.058958423,7,0.243033079,102,,0.639660464
284,14,raw,elliptic,catboost,CB,800,0.040381059,6,0.155183063,120,,0.633751839
285,14,addDur,raw,catboost,CB,700,0.058441692,7,0.369852654,68,,0.641442267
286,14,addDur,zone,catboost,CB,500,0.019883374,8,0.17465095,83,,0.622521738
287,14,addDur,2dpos,catboost,CB,700,0.074227083,7,0.272708754,126,,0.640721782
288,14,addDur,polar,catboost,CB,800,0.072629635,7,2.906072422,85,,0.638130139
289,14,addDur,elliptic,catboost,CB,800,0.050173654,7,1.591614566,124,,0.632673718
290,14,cyclic,raw,catboost,CB,800,0.246787226,5,7.415154957,100,,0.641975039
291,14,cyclic,zone,catboost,CB,500,0.010854763,8,0.222127471,77,,0.622584142
292,14,cyclic,2dpos,catboost,CB,800,0.056663428,6,0.470265867,104,,0.641425931
293,14,cyclic,polar,catboost,CB,500,0.113995461,6,3.245872716,119,,0.635104944
294,14,cyclic,elliptic,catboost,CB,800,0.146748228,5,6.578918096,119,,0.6326564
295,14,1dpos,raw,catboost,CB,800,0.043375547,7,0.114808316,92,,0.551553834
296,14,1dpos,zone,catboost,CB,600,0.011498721,10,0.742676853,53,,0.522764912
297,14,1dpos,2dpos,catboost,CB,400,0.191215969,5,2.84354813,115,,0.552316076
298,14,1dpos,polar,catboost,CB,800,0.049365606,7,0.300103929,123,,0.544593661
299,14,1dpos,elliptic,catboost,CB,600,0.10451887,5,0.385362029,67,,0.540548882
300,15,raw,raw,catboost,CB,600,0.116063566,6,0.414275108,98,,0.644146293
301,15,raw,zone,catboost,CB,600,0.01096824,10,2.554248467,65,,0.620861633
302,15,raw,2dpos,catboost,CB,300,0.066330277,8,0.112932562,128,,0.641632228
303,15,raw,polar,catboost,CB,800,0.076861879,6,1.135686664,128,,0.637944349
304,15,raw,elliptic,catboost,CB,600,0.181333966,5,3.207401989,54,,0.632971399
